iter	Passed	Remaining
233	604	1977
234	605	1972
235	607	1967
236	610	1964
237	612	1960
238	614	1955
239	616	1951
240	618	1947
241	620	1943
242	623	1941
243	625	1937
244	627	1933
245	629	1929
246	631	1924
247	634	1923
248	636	1919
249	638	1915
250	640	1912
251	643	1910
252	645	1907
253	648	1903
254	649	1898
255	651	1894
256	654	1890
257	656	1889
258	658	1884
259	673	1917
260	676	1915
261	679	1912
262	681	1909
263	683	1905
264	685	1900
265	687	1896
266	689	1892
267	692	1890
268	694	1886
269	696	1882
270	698	1879
271	700	1875
272	702	1871
273	704	1866
274	706	1863
275	708	1859
276	711	1855
277	713	1852
278	715	1848
279	717	1843
280	718	1839
281	721	1836
282	723	1834
283	726	1830
284	728	1826
285	730	1822
286	732	1819
287	735	1817
288	737	1814
289	739	1810
290	741	1806
291	743	1803
292	745	1800
293	748	1797
294	750	1792
295	752	1788
296	754	1785
297	756	1783
298	758	1779
299	760	1775
300	762	1771
301	764	1768
302	767	1765
303	769	1761
304	771	1757
305	774	1755
306	776	1752
307	778	1749
308	781	1746
309	783	1743
310	785	1739
311	787	1735
312	789	1733
313	792	1730
314	794	1727
315	796	1724
316	798	1720
317	800	1716
318	802	1714
319	804	1710
320	806	1706
321	808	1703
322	811	1700
323	813	1697
324	816	1695
325	818	1692
326	820	1689
327	823	1686
328	825	1683
329	827	1680
330	830	1677
331	832	1675
332	835	1673
333	837	1670
334	840	1667
335	842	1665
336	844	1662
337	846	1658
338	848	1655
339	851	1652
340	853	1649
341	855	1645
342	857	1642
343	859	1638
344	861	1635
345	863	1631
346	864	1627
347	867	1624
348	869	1621
349	871	1618
350	873	1615
351	876	1613
352	878	1610
353	881	1608
354	883	1605
355	886	1602
356	888	1599
357	890	1597
358	892	1594
359	894	1590
360	896	1587
361	899	1584
362	903	1586
363	906	1583
364	908	1580
365	910	1577
366	912	1574
367	914	1571
368	917	1568
369	919	1565
370	921	1561
371	923	1558
372	925	1555
373	927	1551
374	929	1549
375	932	1547
376	934	1543
377	936	1541
378	938	1538
379	941	1535
380	943	1532
381	945	1529
382	947	1526
383	949	1523
384	951	1520
385	954	1517
386	955	1514
387	957	1510
388	959	1507
389	962	1505
390	964	1501
391	966	1499
392	968	1495
393	970	1492
394	973	1490
395	974	1486
396	976	1483
397	978	1480
398	981	1478
399	983	1475
400	985	1471
401	987	1468
402	990	1466
403	992	1463
404	994	1461
405	996	1458
406	999	1456
407	1001	1452
408	1003	1449
409	1005	1447
410	1007	1443
411	1009	1441
412	1012	1439
413	1015	1437
414	1017	1434
415	1019	1431
416	1021	1428
417	1023	1425
418	1026	1422
419	1027	1419
420	1030	1416
421	1032	1414
422	1034	1411
423	1037	1410
424	1040	1407
425	1042	1404
426	1044	1401
427	1046	1398
428	1048	1395
429	1051	1393
430	1053	1391
431	1055	1387
432	1057	1385
433	1060	1382
434	1062	1379
435	1064	1377
436	1067	1374
437	1069	1372
438	1071	1369
439	1074	1367
440	1076	1364
441	1079	1362
442	1081	1359
443	1083	1357
444	1086	1354
445	1088	1352
446	1091	1350
447	1093	1347
448	1098	1347
449	1101	1346
450	1104	1344
451	1106	1341
452	1108	1339
453	1111	1336
454	1114	1334
455	1116	1332
456	1119	1330
457	1122	1328
458	1125	1326
459	1127	1324
460	1130	1321
461	1132	1318
462	1134	1316
463	1136	1313
464	1140	1311
465	1142	1309
466	1145	1306
467	1147	1304
468	1150	1302
469	1153	1300
470	1155	1297
471	1158	1295
472	1160	1292
473	1163	1290
474	1165	1288
475	1167	1285
476	1170	1283
477	1172	1280
478	1174	1277
479	1176	1274
480	1177	1270
481	1179	1268
482	1182	1265
483	1185	1263
484	1187	1261
485	1190	1259
486	1192	1256
487	1194	1253
488	1196	1250
489	1198	1247
490	1201	1245
491	1203	1242
492	1206	1240
493	1208	1238
494	1211	1235
495	1213	1233
496	1215	1230
497	1218	1228
498	1220	1225
499	1222	1222
500	1224	1220
501	1228	1218
502	1230	1215
503	1232	1213
504	1234	1210
505	1236	1207
506	1239	1204
507	1241	1201
508	1243	1199
509	1245	1196
510	1247	1193
511	1250	1191
512	1252	1188
513	1254	1186
514	1257	1183
515	1258	1180
516	1261	1178
517	1263	1175
518	1266	1173
519	1268	1170
520	1270	1168
521	1273	1165
522	1275	1163
523	1278	1161
524	1280	1158
525	1282	1155
526	1284	1152
527	1286	1149
528	1288	1147
529	1290	1144
530	1293	1142
531	1294	1139
532	1297	1136
533	1299	1134
534	1301	1131
535	1304	1129
536	1306	1126
537	1308	1123
538	1311	1121
539	1313	1118
540	1315	1116
541	1317	1113
542	1320	1111
543	1322	1108
544	1324	1105
545	1327	1103
546	1328	1100
547	1331	1098
548	1333	1095
549	1335	1092
550	1337	1090
551	1339	1087
552	1342	1084
553	1344	1082
554	1346	1079
555	1348	1077
556	1350	1074
557	1353	1071
558	1355	1069
559	1357	1066
560	1360	1064
561	1362	1061
562	1363	1058
563	1365	1055
564	1367	1053
565	1369	1050
566	1371	1047
567	1374	1045
568	1376	1042
569	1378	1040
570	1381	1037
571	1383	1035
572	1385	1032
573	1387	1030
574	1390	1027
575	1392	1024
576	1394	1022
577	1396	1019
578	1398	1017
579	1401	1014
580	1403	1012
581	1406	1009
582	1408	1007
583	1410	1004
584	1412	1002
585	1414	999
586	1416	996
587	1418	993
588	1420	991
589	1422	988
590	1425	986
591	1427	983
592	1429	981
593	1432	978
594	1434	976
595	1436	973
596	1438	971
597	1441	968
598	1443	966
599	1445	963
600	1448	961
601	1450	958
602	1453	956
603	1455	954
604	1458	951
605	1459	949
606	1462	946
607	1465	944
608	1467	942
609	1469	939
610	1471	936
611	1473	934
612	1476	931
613	1478	929
614	1481	927
615	1483	924
616	1485	922
617	1487	919
618	1490	917
619	1493	915
620	1495	912
621	1497	909
622	1499	907
623	1501	904
624	1503	901
625	1504	899
626	1507	896
627	1509	894
628	1511	891
629	1513	889
630	1515	886
631	1518	884
632	1520	881
633	1521	878
634	1524	876
635	1526	873
636	1529	871
637	1531	868
638	1533	866
639	1535	863
640	1538	861
641	1541	859
642	1542	856
643	1545	854
644	1547	851
645	1549	849
646	1551	846
647	1553	843
648	1555	841
649	1557	838
650	1559	836
651	1562	833
652	1564	831
653	1566	828
654	1568	826
655	1570	823
656	1572	821
657	1574	818
658	1577	816
659	1580	814
660	1583	812
661	1585	809
662	1587	807
663	1590	804
664	1593	802
665	1595	800
666	1597	797
667	1599	795
668	1602	792
669	1604	790
670	1606	787
671	1608	785
672	1611	782
673	1613	780
674	1615	777
675	1618	775
676	1619	772
677	1622	770
678	1625	768
679	1627	765
680	1630	763
681	1632	761
682	1634	758
683	1637	756
684	1639	754
685	1642	751
686	1644	749
687	1646	746
688	1649	744
689	1651	742
690	1654	739
691	1656	737
692	1659	735
693	1661	732
694	1664	730
695	1667	728
696	1669	725
697	1672	723
698	1675	721
699	1677	719
700	1679	716
701	1682	714
702	1684	711
703	1687	709
704	1689	706
705	1691	704
706	1693	701
707	1695	699
708	1697	696
709	1700	694
710	1702	692
711	1705	689
712	1707	687
713	1710	684
714	1712	682
715	1714	680
716	1716	677
717	1718	675
718	1721	672
719	1723	670
720	1726	667
721	1728	665
722	1730	662
723	1732	660
724	1734	657
725	1736	655
726	1738	653
727	1741	650
728	1744	648
729	1746	645
730	1748	643
731	1750	640
732	1752	638
733	1754	635
734	1756	633
735	1759	631
736	1761	628
737	1764	626
738	1766	623
739	1768	621
740	1771	619
741	1773	616
742	1775	614
743	1777	611
744	1779	609
745	1782	606
746	1784	604
747	1787	602
748	1788	599
749	1791	597
750	1793	594
751	1797	592
752	1799	590
753	1801	587
754	1804	585
755	1806	582
756	1808	580
757	1810	578
758	1812	575
759	1815	573
760	1817	570
761	1820	568
762	1822	566
763	1825	563
764	1826	561
765	1829	558
766	1831	556
767	1833	554
768	1836	551
769	1838	549
770	1840	546
771	1843	544
772	1844	541
773	1847	539
774	1849	537
775	1852	534
776	1854	532
777	1857	529
778	1859	527
779	1861	525
780	1864	522
781	1866	520
782	1868	517
783	1870	515
784	1872	512
785	1875	510
786	1877	508
787	1879	505
788	1882	503
789	1884	500
790	1886	498
791	1888	495
792	1890	493
793	1892	491
794	1894	488
795	1897	486
796	1899	483
797	1902	481
798	1904	479
799	1906	476
800	1908	474
801	1910	471
802	1913	469
803	1915	467
804	1918	464
805	1919	462
806	1922	459
807	1924	457
808	1926	454
809	1929	452
810	1931	450
811	1933	447
812	1935	445
813	1937	442
814	1939	440
815	1941	437
816	1944	435
817	1946	433
818	1948	430
819	1951	428
820	1953	425
821	1955	423
822	1957	421
823	1959	418
824	1962	416
825	1964	413
826	1966	411
827	1968	408
828	1970	406
829	1972	404
830	1975	401
831	1977	399
832	1979	396
833	1981	394
834	1983	391
835	1985	389
836	1987	387
837	1989	384
838	1992	382
839	1994	379
840	1996	377
841	1999	375
842	2001	372
843	2003	370
844	2006	367
845	2008	365
846	2010	363
847	2013	360
848	2015	358
849	2017	356
850	2019	353
851	2021	351
852	2023	348
853	2026	346
854	2028	344
855	2030	341
856	2032	339
857	2034	336
858	2037	334
859	2039	332
860	2042	329
861	2045	327
862	2047	325
863	2049	322
864	2051	320
865	2053	317
866	2055	315
867	2057	312
868	2060	310
869	2062	308
870	2065	305
871	2067	303
872	2069	301
873	2071	298
874	2073	296
875	2075	293
876	2077	291
877	2079	288
878	2081	286
879	2084	284
880	2086	281
881	2089	279
882	2091	277
883	2093	274
884	2095	272
885	2098	269
886	2099	267
887	2102	265
888	2103	262
889	2106	260
890	2108	257
891	2110	255
892	2112	253
893	2114	250
894	2116	248
895	2118	245
896	2121	243
897	2123	241
898	2125	238
899	2126	236
900	2128	233
901	2131	231
902	2132	229
903	2134	226
904	2137	224
905	2139	221
906	2141	219
907	2144	217
908	2146	214
909	2148	212
910	2150	210
911	2152	207
912	2155	205
913	2157	202
914	2159	200
915	2161	198
916	2164	195
917	2166	193
918	2167	191
919	2169	188
920	2171	186
921	2174	183
922	2176	181
923	2178	179
924	2180	176
925	2182	174
926	2185	172
927	2187	169
928	2189	167
929	2192	165
930	2194	162
931	2196	160
932	2198	157
933	2201	155
934	2203	153
935	2205	150
936	2208	148
937	2210	146
938	2212	143
939	2215	141
940	2217	139
941	2219	136
942	2221	134
943	2224	131
944	2226	129
945	2228	127
946	2231	124
947	2233	122
948	2236	120
949	2239	117
950	2241	115
951	2244	113
952	2246	110
953	2248	108
954	2251	106
955	2253	103
956	2255	101
957	2258	98
958	2260	96
959	2263	94
960	2265	91
961	2268	89
962	2270	87
963	2272	84
964	2274	82
965	2277	80
966	2279	77
967	2281	75
968	2284	73
969	2286	70
970	2289	68
971	2291	66
972	2294	63
973	2296	61
974	2298	58
975	2301	56
976	2303	54
977	2306	51
978	2308	49
979	2310	47
980	2313	44
981	2315	42
982	2317	40
983	2318	37
984	2321	35
985	2323	32
986	2325	30
987	2328	28
988	2330	25
989	2332	23
990	2334	21
991	2336	18
992	2338	16
993	2341	14
994	2343	11
995	2345	9
996	2347	7
997	2350	4
998	2352	2
999	2354	0
